Time Step,Distance (m),Received Power (W)
100,9595.646392105307,6.1897671310072835e-09
101,10232.364632136992,5.4434064752425836e-09
102,10844.155090544396,4.846534863027538e-09
103,11428.934793573313,4.363261797150562e-09
104,11984.824391673299,3.967888243165302e-09
105,12510.076461411896,3.6416889904916244e-09
106,13003.112712052647,3.370762294709815e-09
107,13462.47825811342,3.144653157867716e-09
108,13886.852340010191,2.9553923588104624e-09
109,14275.032103564343,2.796846259295813e-09
110,14625.950519758771,2.664247590546362e-09
111,14938.656767852252,2.553875274178673e-09
112,15212.320866319376,2.462815209521346e-09
113,15446.230958204827,2.388788682503381e-09
114,15639.795983040442,2.3300251801135828e-09
115,15792.542999343987,2.2851706911080567e-09
116,15904.110674250847,2.2532221034761037e-09
117,15974.25570432505,2.23347716875374e-09
118,16002.84474316958,2.225504095217799e-09
119,15989.855745351473,2.2291212396497486e-09
120,15935.375322556747,2.2443892911060917e-09
121,15839.596315729554,2.271614139540495e-09
122,15702.817156141275,2.3113602163082544e-09
123,15525.438729598449,2.3644765875950133e-09
124,15424.984834101388,2.395373772108018e-09
125,15271.317142518845,2.4438232301335947e-09
126,15016.800529813716,2.52736494451849e-09
127,14717.335251252769,2.6312639492220717e-09
128,14382.351507039919,2.7552625157430836e-09
129,14013.456126951496,2.902232926921981e-09
130,13611.217745030744,3.0763009392990884e-09
131,13176.097985815333,3.2828357155050743e-09
132,12708.565851406045,3.5288215270615135e-09
133,12209.132023426659,3.82343050999099e-09
134,11678.369131062833,4.178865417412192e-09
135,11116.919826896486,4.611623399596226e-09
136,10525.503884094116,5.144426772414416e-09
137,9904.939563840517,5.809237356299476e-09
138,9256.133519957168,6.652173380003187e-09
139,8580.128433827398,7.741679785793209e-09
140,7878.067985672333,9.182973535477699e-09
141,7151.255698003983,1.1144437880066699e-08
142,6401.1286256131725,1.3909440889021823e-08
143,5629.306739528987,1.7985104003759488e-08
144,4837.62184461067,2.4353363326054017e-08
145,4028.1271565524466,3.5125008524200575e-08
146,3203.2175943750576,5.5545630250131775e-08
147,2365.951885948784,1.0181481214037678e-07
148,1521.375665768832,2.462350377324762e-07
149,687.8422764444946,1.204606080996302e-06
150,343.7142930643905,4.824225465539724e-06
151,1129.4032154719298,4.4681191075186833e-07
152,1987.726905294037,1.4424785004975564e-07
153,2851.183009852859,7.010880950682926e-08
