target.A1ModJulian,target.EarthMJ2000Eq.X,target.EarthMJ2000Eq.Y,target.EarthMJ2000Eq.Z,target.EarthMJ2000Eq.VX,target.EarthMJ2000Eq.VY,target.EarthMJ2000Eq.VZ
21545.13889,-7824.468192,4158.304252,1913.282072,-3.363364827,-5.149860132,-2.41176174
21545.13889,-7824.468192,4158.304252,1913.282072,-3.363364827,-5.149860132,-2.41176174
21545.13958,-8018.66688,3845.405657,1766.776586,-3.108909878,-5.278405663,-2.470963196
21545.14107,-8381.477903,3152.695033,1442.634781,-2.546171074,-5.518533141,-2.581269606
21545.14268,-8692.667538,2367.349547,1075.448114,-1.908959555,-5.724543739,-2.675400812
21545.14432,-8915.242582,1549.14743,693.2120278,-1.245737212,-5.872062963,-2.742130286
21545.14595,-9043.44364,713.2899472,303.0395717,-0.568665616,-5.957359061,-2.779753818
21545.14758,-9075.543097,-130.4757703,-90.51193469,0.114544422,-5.979332464,-2.787782438
21545.14922,-9011.125141,-972.976514,-483.1569256,0.796657705,-5.93771343,-2.76611367
21545.15085,-8850.84992,-1805.112586,-870.6476491,1.470498497,-5.832905296,-2.714959694
21545.15249,-8596.42513,-2617.914653,-1248.800731,2.128986559,-5.665966895,-2.634839011
21545.15412,-8250.592741,-3402.607728,-1613.527107,2.765179437,-5.438606738,-2.52657357
21545.15576,-7817.093345,-4150.732755,-1960.88874,3.372362222,-5.153164164,-2.391279654
21545.15739,-7300.622302,-4854.236556,-2287.140549,3.94411291,-4.812586542,-2.230356981
21545.15902,-6706.788832,-5505.546311,-2588.765127,4.474356693,-4.420409687,-2.045479346
21545.16065,-6042.025477,-6097.685371,-2862.526556,4.957455697,-3.980706478,-1.838570275
21545.16228,-5313.554252,-6624.309024,-3105.487079,5.388235591,-3.498073556,-1.611796669
21545.16391,-4529.257358,-7079.815799,-3315.058646,5.762075964,-2.977555172,-1.367532884
21545.16553,-3697.632314,-7459.373533,-3489.015006,6.074933347,-2.424622771,-1.108351038
21545.16715,-2827.659925,-7758.993678,-3625.525957,6.323405923,-1.845096283,-0.836983967
21545.16877,-1928.722367,-7975.560506,-3723.170729,6.504763373,-1.245097695,-0.556303363
21545.17039,-1010.490483,-8106.865343,-3780.953595,6.616982743,-0.630982904,-0.269287732
21545.17201,-82.82222818,-8151.625661,-3798.312422,6.658773413,-0.009279356,0.02100689
21545.17362,844.3534937,-8109.495791,-3775.123263,6.629596447,0.613387945,0.311481655
21545.17523,1761.149871,-7981.063505,-3711.698335,6.529673081,1.230370475,0.599029593
21545.17684,2657.829469,-7767.834771,-3608.778491,6.359983735,1.835068551,0.880569489
21545.17845,3524.871958,-7472.222257,-3467.527575,6.122269614,2.420979152,1.153068317
21545.18005,4353.133896,-7097.499349,-3289.51032,5.819005853,2.981807959,1.413593533
21545.18166,5133.905882,-6647.766473,-3076.676362,5.453382943,3.511514143,1.659334012
21545.18326,5859.007891,-6127.901343,-2831.336593,5.029273597,4.004382537,1.887633701
21545.18485,6520.86532,-5543.508857,-2556.139416,4.551197298,4.455084089,2.096019787
21545.18645,7112.597486,-4900.848643,-2254.036508,4.024264306,4.858745767,2.282235189
21545.18804,7628.08247,-4206.762106,-1928.248432,3.454116738,5.21100494,2.444263781
21545.18964,8061.997092,-3468.623075,-1582.241347,2.846886591,5.508046793,2.580347753
21545.19123,8409.896217,-2694.213786,-1219.66873,2.209089978,5.74666826,2.68901708
21545.19282,8668.217899,-1891.705441,-844.3621624,1.547605109,5.924290341,2.76909523
21545.19441,8834.342507,-1069.523454,-460.2681048,0.869553381,6.039006129,2.819721125
21545.196,8906.602973,-236.2834845,-71.41789424,0.182237105,6.089593739,2.840354937
21545.19758,8884.299481,599.297683,318.1140192,-0.506944668,6.075530349,2.830784307
21545.19917,8767.704366,1428.485214,704.2489735,-1.190576019,5.99699743,2.791126443
21545.20076,8558.059083,2242.613808,1082.945064,-1.86130791,5.854878343,2.721826635
21545.20235,8257.554502,3033.190611,1450.245184,-2.51195413,5.650742381,2.623650362
21545.20394,7869.320567,3791.941657,1802.298774,-3.1355398,5.386833049,2.497677584
21545.20553,7397.390201,4510.922014,2135.413156,-3.725400937,5.06603701,2.345287763
21545.20712,6846.657199,5182.594322,2446.090093,-4.275256083,4.691847388,2.168142359
21545.20872,6222.833105,5799.896876,2731.057462,-4.779267195,4.26832525,1.968166516
21545.21031,5532.391438,6356.317489,2987.303555,-5.232102889,3.800051806,1.747526388
21545.21191,4782.518538,6845.952748,3212.104588,-5.628987293,3.292084878,1.508608522
21545.21351,3981.02425,7263.586941,3403.061183,-5.965762371,2.749888385,1.253986563
21545.21511,3136.279567,7604.737493,3558.119346,-6.238920602,2.179280846,0.986396979
21545.21671,2257.129289,7865.708798,3675.595226,-6.445642339,1.586368071,0.70870736
21545.21832,1352.796428,8043.635821,3754.195051,-6.583822942,0.977471785,0.423882882
21545.21992,432.7936854,8136.515204,3793.029246,-6.652088385,0.359064794,0.134955865
21545.22153,-493.1436156,8143.231869,3791.624552,-6.649806437,-0.262277577,-0.154997056
21545.22315,-1415.224848,8063.580787,3749.93337,-6.577092546,-0.879991309,-0.442908183
21545.22476,-2323.652302,7898.269615,3668.334757,-6.434801075,-1.487555429,-0.725733632
21545.22638,-3208.733144,7648.922581,3547.635671,-6.224517425,-2.078564624,-1.000487285
21545.228,-4061.019114,7318.058326,3389.059914,-5.948529546,-2.64681841,-1.264282358
21545.22962,-4871.35301,6909.085731,3194.245907,-5.609816033,-3.186346403,-1.514343232
21545.23124,-5631.027248,6426.250829,2965.221087,-5.211995039,-3.691506946,-1.748051305
21545.23287,-6331.840154,5874.612396,2704.390158,-4.759299091,-4.157016453,-1.962958643
21545.23449,-6966.208822,5259.980151,2414.505624,-4.256521033,-4.578015665,-2.156818695
21545.23612,-7527.247706,4588.858367,2098.640995,-3.708966688,-4.950112718,-2.32760622
21545.23775,-8008.8416,3868.387775,1760.163212,-3.12240822,-5.269422466,-2.473535449
21545.23939,-8405.734735,3106.244607,1402.684998,-2.503004715,-5.532616848,-2.593083233
21545.24102,-8713.575246,2310.576999,1030.034842,-1.857255213,-5.736946361,-2.684998861
21545.24265,-8928.967244,1489.929181,646.2212571,-1.191943461,-5.880267614,-2.74831666
21545.24429,-9049.52508,653.1059985,255.3691724,-0.514035799,-5.961073684,-2.782369653
