MWPT.A1ModJulian,MWPT.EarthMJ2000Eq.X,MWPT.EarthMJ2000Eq.Y,MWPT.EarthMJ2000Eq.Z,MWPT.EarthMJ2000Eq.VX,MWPT.EarthMJ2000Eq.VY,MWPT.EarthMJ2000Eq.VZ
21545.2922,-4181.509589,-7250.618306,-3423.453193,5.876102774,-2.85776274,-1.266566823
21545.29382,-3336.071874,-7612.570683,-3582.728471,6.160419255,-2.295662907,-1.001176316
21545.29545,-2454.126716,-7894.281005,-3704.163041,6.379116933,-1.710005147,-0.725522529
21545.29708,-1544.917269,-8092.669354,-3786.422788,6.529962014,-1.107036492,-0.442549523
21545.29871,-618.0166161,-8205.516443,-3828.579466,6.611443163,-0.493182129,-0.155276506
21545.30034,316.7938751,-8231.499677,-3830.126166,6.622789564,0.12503914,0.13324192
21545.30198,1249.617781,-8170.210218,-3790.984235,6.563973338,0.74107854,0.419945587
21545.30362,2170.566056,-8022.159857,-3711.505085,6.435703304,1.348438228,0.701806534
21545.30526,3069.822442,-7788.785139,-3592.47137,6.239417427,1.940712559,0.97584828
21545.3069,3937.782588,-7472.434931,-3435.089565,5.977261913,2.511676098,1.239186739
21545.30855,4765.138263,-7076.355601,-3240.982058,5.652070054,3.055333719,1.489053443
21545.31019,5543.005727,-6604.649341,-3012.166193,5.267320555,3.565998278,1.722831382
21545.31184,6262.993397,-6062.24832,-2751.041374,4.827110834,4.038327233,1.93807186
21545.3135,6917.313148,-5454.858306,-2460.361418,4.336107339,4.467387111,2.132524067
21545.31515,7498.865011,-4788.902036,-2143.207092,3.799497966,4.848700028,2.304156289
21545.3168,8001.318278,-4071.453116,-1802.954253,3.222938992,5.178287741,2.451175899
21545.31846,8419.189097,-3310.153914,-1443.234568,2.612491314,5.452713695,2.572048277
21545.32012,8747.898433,-2513.140167,-1067.899573,1.974564142,5.669112824,2.665510085
21545.32178,8983.828834,-1688.946371,-680.9757881,1.315845103,5.825221559,2.730582484
21545.32344,9124.36341,-846.4276464,-286.6277102,0.643245127,5.91939741,2.766579643
21545.32509,9167.924091,5.338525169,110.8885732,-0.036171506,5.950639607,2.773117555
21545.32675,9113.992265,857.1954892,507.2925017,-0.715291964,5.918600085,2.750117935
21545.32841,8963.11111,1699.954736,898.3012636,-1.386982667,5.823584032,2.697808143
21545.33007,8716.883572,2524.528676,1279.691795,-2.044185164,5.66654974,2.61671997
21545.33173,8377.961158,3322.011814,1647.338618,-2.679971169,5.449104125,2.507686881
21545.33339,7950.003781,4083.812666,1997.274978,-3.287638768,5.17348134,2.371832867
21545.33505,7437.648143,4801.721825,2325.724322,-3.860758872,4.842528275,2.210565097
21545.33671,6846.450397,5468.01676,2629.148579,-4.393252407,4.459674769,2.025559062
21545.33836,6182.823183,6075.545645,2904.286593,-4.879452553,4.028901129,1.818742633
21545.34002,5453.963886,6617.805065,3148.189581,-5.314164063,3.554700576,1.592277778
21545.34167,4667.775675,7089.010353,3358.253069,-5.692718808,3.042037296,1.348540263
21545.34332,3832.757967,7484.168692,3532.249717,-6.01103575,2.496284417,1.090089934
